Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-12-08,33695.96875,33899.17188,33642.46094,33781.48047,33781.48047,271830000,2317
2022-12-09,33746.71094,33844.62891,33462.64844,33476.46094,33476.46094,287630000,2318
2022-12-12,33519.5,34005.03906,33519.5,34005.03906,34005.03906,313440000,2319
2022-12-13,34268.44141,34712.28125,33890.87891,34108.64063,34108.64063,442650000,2320
2022-12-14,34086.07031,34395.64844,33704.17188,33966.35156,33966.35156,339090000,2321
2022-12-15,33773,33773,33016.16016,33202.21875,33202.21875,394290000,2322
2022-12-16,33166.46094,33166.46094,32654.58984,32920.46094,32920.46094,756310000,2323
2022-12-19,32921.44922,33038.94141,32581.9707,32757.53906,32757.53906,326430000,2324
2022-12-20,32735.24023,32992.23047,32649.44922,32849.73828,32849.73828,303970000,2325
2022-12-21,33028.08984,33437.83984,33028.08984,33376.48047,33376.48047,328020000,2326
2022-12-22,33233.35156,33233.35156,32573.42969,33027.48828,33027.48828,340640000,2327
2022-12-23,32961.05859,33226.14063,32814.01953,33203.92969,33203.92969,221050000,2328
2022-12-27,33224.23047,33387.71875,33069.57813,33241.55859,33241.55859,246010000,2329
2022-12-28,33264.76172,33379.55078,32869.14844,32875.71094,32875.71094,252260000,2330
2022-12-29,33021.42969,33293.42188,33020.35156,33220.80078,33220.80078,243060000,2331
2022-12-30,33121.60938,33152.55078,32847.82031,33147.25,33147.25,295500000,2332
2023-01-03,33148.89844,33387.51953,32850.57031,33136.37109,33136.37109,355930000,2333
2023-01-04,33165.14063,33409.10156,33033.48047,33269.76953,33269.76953,379400000,2334
2023-01-05,33191.71875,33191.71875,32812.32813,32930.07813,32930.07813,337920000,2335
2023-01-06,33055.30078,33710.66016,32997.39063,33630.60938,33630.60938,360740000,2336
2023-01-09,33664.39063,33935.10938,33487.66016,33517.64844,33517.64844,327840000,2337
2023-01-10,33516.42969,33726.53906,33421.80078,33704.10156,33704.10156,268260000,2338
2023-01-11,33754.03125,33974.69141,33711.03906,33973.01172,33973.01172,301650000,2339
2023-01-12,34047.85938,34292.67188,33792.10156,34189.96875,34189.96875,308190000,2340
